"module","family","expected_policy","expected_kernel","observed_kernel","coqc_status","coqchk_status","outcome","coqc_ms","coqchk_ms","coqc_log","coqchk_log"
"V64_ACCEPT_RECORD_TUPLE_026","record_tuple","accept","success","success","kernel_success","coqchk_success","accepted_kernel_checked","290.4","397","logs/V64_ACCEPT_RECORD_TUPLE_026.coqc.log","logs/V64_ACCEPT_BATCH.coqchk.log"
"V64_ACCEPT_RECORD_TUPLE_027","record_tuple","accept","success","success","kernel_success","coqchk_success","accepted_kernel_checked","313.8","397","logs/V64_ACCEPT_RECORD_TUPLE_027.coqc.log","logs/V64_ACCEPT_BATCH.coqchk.log"
"V64_ACCEPT_RECORD_TUPLE_028","record_tuple","accept","success","success","kernel_success","coqchk_success","accepted_kernel_checked","331.7","397","logs/V64_ACCEPT_RECORD_TUPLE_028.coqc.log","logs/V64_ACCEPT_BATCH.coqchk.log"
"V64_ACCEPT_RECORD_TUPLE_029","record_tuple","accept","success","success","kernel_success","coqchk_success","accepted_kernel_checked","366.5","397","logs/V64_ACCEPT_RECORD_TUPLE_029.coqc.log","logs/V64_ACCEPT_BATCH.coqchk.log"
"V64_ACCEPT_RECORD_TUPLE_030","record_tuple","accept","success","success","kernel_success","coqchk_success","accepted_kernel_checked","348.3","397","logs/V64_ACCEPT_RECORD_TUPLE_030.coqc.log","logs/V64_ACCEPT_BATCH.coqchk.log"
"V64_ACCEPT_RECORD_TUPLE_031","record_tuple","accept","success","success","kernel_success","coqchk_success","accepted_kernel_checked","337","397","logs/V64_ACCEPT_RECORD_TUPLE_031.coqc.log","logs/V64_ACCEPT_BATCH.coqchk.log"
"V64_ACCEPT_RECORD_TUPLE_032","record_tuple","accept","success","success","kernel_success","coqchk_success","accepted_kernel_checked","330.8","397","logs/V64_ACCEPT_RECORD_TUPLE_032.coqc.log","logs/V64_ACCEPT_BATCH.coqchk.log"
"V64_ACCEPT_RECORD_TUPLE_033","record_tuple","accept","success","success","kernel_success","coqchk_success","accepted_kernel_checked","304","397","logs/V64_ACCEPT_RECORD_TUPLE_033.coqc.log","logs/V64_ACCEPT_BATCH.coqchk.log"
"V64_ACCEPT_RECORD_TUPLE_034","record_tuple","accept","success","success","kernel_success","coqchk_success","accepted_kernel_checked","289.6","397","logs/V64_ACCEPT_RECORD_TUPLE_034.coqc.log","logs/V64_ACCEPT_BATCH.coqchk.log"
"V64_ACCEPT_RECORD_TUPLE_035","record_tuple","accept","success","success","kernel_success","coqchk_success","accepted_kernel_checked","277.9","397","logs/V64_ACCEPT_RECORD_TUPLE_035.coqc.log","logs/V64_ACCEPT_BATCH.coqchk.log"
"V64_ACCEPT_RECORD_TUPLE_036","record_tuple","accept","success","success","kernel_success","coqchk_success","accepted_kernel_checked","287.5","397","logs/V64_ACCEPT_RECORD_TUPLE_036.coqc.log","logs/V64_ACCEPT_BATCH.coqchk.log"
"V64_ACCEPT_RECORD_TUPLE_037","record_tuple","accept","success","success","kernel_success","coqchk_success","accepted_kernel_checked","326.3","397","logs/V64_ACCEPT_RECORD_TUPLE_037.coqc.log","logs/V64_ACCEPT_BATCH.coqchk.log"
"V64_ACCEPT_RECORD_TUPLE_038","record_tuple","accept","success","success","kernel_success","coqchk_success","accepted_kernel_checked","308.6","397","logs/V64_ACCEPT_RECORD_TUPLE_038.coqc.log","logs/V64_ACCEPT_BATCH.coqchk.log"
"V64_ACCEPT_RECORD_TUPLE_039","record_tuple","accept","success","success","kernel_success","coqchk_success","accepted_kernel_checked","304","397","logs/V64_ACCEPT_RECORD_TUPLE_039.coqc.log","logs/V64_ACCEPT_BATCH.coqchk.log"
"V64_ACCEPT_RECORD_TUPLE_040","record_tuple","accept","success","success","kernel_success","coqchk_success","accepted_kernel_checked","367.8","397","logs/V64_ACCEPT_RECORD_TUPLE_040.coqc.log","logs/V64_ACCEPT_BATCH.coqchk.log"
"V64_ACCEPT_RECORD_TUPLE_041","record_tuple","accept","success","success","kernel_success","coqchk_success","accepted_kernel_checked","347.2","397","logs/V64_ACCEPT_RECORD_TUPLE_041.coqc.log","logs/V64_ACCEPT_BATCH.coqchk.log"
"V64_ACCEPT_RECORD_TUPLE_042","record_tuple","accept","success","success","kernel_success","coqchk_success","accepted_kernel_checked","351.1","397","logs/V64_ACCEPT_RECORD_TUPLE_042.coqc.log","logs/V64_ACCEPT_BATCH.coqchk.log"
"V64_ACCEPT_RECORD_TUPLE_043","record_tuple","accept","success","success","kernel_success","coqchk_success","accepted_kernel_checked","379.3","397","logs/V64_ACCEPT_RECORD_TUPLE_043.coqc.log","logs/V64_ACCEPT_BATCH.coqchk.log"
"V64_ACCEPT_RECORD_TUPLE_044","record_tuple","accept","success","success","kernel_success","coqchk_success","accepted_kernel_checked","387.3","397","logs/V64_ACCEPT_RECORD_TUPLE_044.coqc.log","logs/V64_ACCEPT_BATCH.coqchk.log"
"V64_ACCEPT_RECORD_TUPLE_045","record_tuple","accept","success","success","kernel_success","coqchk_success","accepted_kernel_checked","344.7","397","logs/V64_ACCEPT_RECORD_TUPLE_045.coqc.log","logs/V64_ACCEPT_BATCH.coqchk.log"
"V64_ACCEPT_RECORD_TUPLE_046","record_tuple","accept","success","success","kernel_success","coqchk_success","accepted_kernel_checked","352.3","397","logs/V64_ACCEPT_RECORD_TUPLE_046.coqc.log","logs/V64_ACCEPT_BATCH.coqchk.log"
"V64_ACCEPT_RECORD_TUPLE_047","record_tuple","accept","success","success","kernel_success","coqchk_success","accepted_kernel_checked","360.4","397","logs/V64_ACCEPT_RECORD_TUPLE_047.coqc.log","logs/V64_ACCEPT_BATCH.coqchk.log"
