"family","modules","obligations","coqc_success","coqc_failure","coqc_seconds"
"assoc-list","80","160","80","0","42.39"
"bool-reflect","80","160","80","0","39.34"
"list-filter-partition","80","160","80","0","38.63"
"list-map-app","80","160","80","0","39.94"
"nat-order","80","160","80","0","38.29"
"option-wrapper","80","160","80","0","39.11"
"pair-swap","80","160","80","0","39.53"
"record-tuple","80","160","80","0","41.12"
"tree-mirror","80","160","80","0","40.78"
