"family","modules","obligations","coqc_success","coqc_failure","coqc_seconds"
"bool-rewrite-maintenance","60","120","60","0","38.21"
"list-filter-regression","60","120","60","0","35.17"
"list-map-regression","60","120","60","0","34.42"
"nat-rewrite-maintenance","60","120","60","0","35.76"
"option-maintenance","60","120","60","0","35.29"
"pair-migration","60","120","60","0","36.16"
"record-migration","60","120","60","0","34.99"
"tree-maintenance","60","120","60","0","37.42"
